Volume of exports of major arms by region broken down by suppliers 1990-2023
Figures are in millions of SIPRI trend-indicator values (TIVs).
For the method used for the SIPRI TIV see <https://www.sipri.org/databases/armstransfers/sources-and-methods>.
A '0' indicates that the volume of deliveries is between 0 and 0.5 million SIPRI TIV. An empty field indicates that no deliveries have been identified.
Figures may not add up to stated totals due to the conventions of rounding.
For a list of states covered by each region see <https://www.sipri.org/databases/regional-coverage>.

Source: SIPRI Arms Transfers Database (c) SIPRI.
Data generated: 13 Apr 2024 8:20:07 AM

,,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,1990-2023,% of regional total
,Poland,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,12,,,,,,15,0.7%
,Russia,,,,,,,,,,,22,,,,,,58,,,,,,,,,,,,,,4,,,,84,3.7%
,Serbia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,14,,,,22,1%
,Singapore,,,,,,,,,,,,,,,,,,,,,,,,4,4,,,,,,,,,,8,0.4%
,Slovakia,,,,8,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,0.5%
,South Africa,,,,,,8,,,1,7,7,,,,2,1,9,,10,,,1,,6,16,3,,,,,,,7,,78,3.4%
,Spain,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,13,,,,,,26,1.1%
,Sweden,,,,,,,,,,,,,,,,,,,,,,,,8,8,,8,,,15,,,,,39,1.7%
,Switzerland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,,,,12,0.5%
,UAE,,,,,,,,,,,,,,,,,,,,,,,,,12,10,14,14,14,14,,,,,77,3.4%
,Ukraine,,,,,,,,,,,,,,,,,58,,,,,,,,8,,,,,,,,,,66,2.9%
,United Kingdom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66,44,44,,154,6.8%
,United States,,11,11,20,,3,3,,4,14,,,,,,,,,,420,3,,,,0,2,,,8,70,115,,,,683,30%
,unknown supplier(s),,,,,,,,,,,,0,0,,,44,,,,,,,,,,,,,,,,,,,44,1.9%
OAS,Regional total,1441,2308,1552,1691,2423,2020,2073,3036,1183,1697,1962,2325,1613,1279,1695,1848,2823,3399,3068,2451,2852,3090,3097,2566,2034,2303,1671,1447,1084,1410,1983,1718,1766,1048,69955,100%
,Argentina,6,0,,,0,5,,,,,2,,2,,,,2,,,,,1,,,,,,,,,,,,,20,0%
,Australia,,,,,18,24,,,,,,42,30,30,2,,9,34,26,,24,96,30,30,60,32,62,60,30,75,392,139,,30,1273,1.8%
,Austria,,,,,,,,,,,2,14,,,,,3,6,,4,3,2,1,1,1,5,1,,1,,,,,,43,0.1%
,Bahrain,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,2,0%
,Belarus,,,,,,,,353,16,,,,2,,,,,,,,,,,,,,,,,,,,,,371,0.5%
,Belgium,,,,,39,161,58,24,23,49,34,6,2,,,,50,,0,3,,,,,,,,,,,,54,36,,539,0.8%
,Brazil,,19,19,21,,,,,,,,,,,36,1,44,48,45,33,129,18,5,,,,,,35,,18,9,7,,488,0.7%
,Bulgaria,,,,,11,1,17,,,,,,3,7,,,,,,,,,,,6,,,,,,,,,,45,0.1%
,Canada,9,27,5,9,57,126,,2,3,0,6,21,131,183,130,132,155,162,175,142,135,178,165,71,55,23,21,18,5,5,4,8,32,61,2256,3.2%
,Chile,,3,8,,,,,,2,1,1,,1,,,,,,100,,,,,,20,,,,0,,,,8,,144,0.2%
,China,,8,20,3,4,2,,,,,,,3,5,,,20,27,41,55,99,29,51,97,91,132,80,0,1,,,,,30,796,1.1%
,Colombia,,,,,,,,,,,,,6,,,,,,,,,,0,,,,,10,,10,4,,,,30,0%
,Costa Rica,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,0%
,Cyprus,,,,,,,34,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,0%
,Czechia,,,,,,12,4,,5,5,,,1,,,,,,,,,,,1,2,4,13,41,29,1,1,0,,,119,0.2%
,Denmark,,,,183,246,,,,,,,,,,,,,1,,,,,10,5,,,,,2,,,19,5,,470,0.7%
,Dominican Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,0,,4,0%
,Ecuador,,,,,,,,,,,,,,,,,,,,,,,,,6,,,,2,,,,,,8,0%
,Finland,,3,1,4,5,3,,,,,,,,,,,,,3,3,,,3,,6,,,6,,,,,,,38,0.1%
,FMLN (El Salvador)*,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0%
,France,280,321,161,101,43,120,89,214,112,202,92,472,22,24,40,309,74,86,110,142,153,157,185,169,189,174,234,111,58,180,176,138,484,45,5467,7.8%
,Germany,163,157,30,75,354,53,181,79,86,232,210,31,14,3,130,188,19,183,296,393,414,324,324,230,255,318,95,245,88,142,78,63,61,69,5578,8%
,Greece,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,,,,,,,30,0%
,Hungary,,,,18,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,0%
,India,,,,,,,,,,,,,,,,,,,,27,,,,,,3,,,,,,,,,30,0%
,Iran,,,,,,,,,,,,,,,,,,,,,,,0,1,,,,,,,,,,51,52,0.1%
,Ireland,,,,,,,,,,,,,,,,,,,1,1,1,1,,,,,,,,,,13,46,,64,0.1%
,Israel,13,76,95,141,93,156,131,124,54,31,91,162,171,108,301,113,91,86,44,113,254,125,52,73,95,80,111,111,92,74,55,131,144,26,3618,5.2%
,Italy,34,133,78,63,62,121,164,167,67,61,36,67,141,87,62,387,192,218,73,69,104,124,141,22,90,80,23,43,37,31,46,96,148,133,3399,4.9%
,Japan,,54,101,122,130,126,90,25,,,,,,,,,,40,,,,,,,,,,,,,,,,,688,1%
,Jordan,,,,,36,,,,,,,,,,,,,,13,,,,,,,,17,71,,,66,66,51,,319,0.5%
,Kuwait,,,,,,,,,95,,,,,,,,,,,,,,,,,,,,,,,,,,95,0.1%
,Kyrgyzstan,,,,,,,,,,,,,,,,,,,14,,,,,,,,,,,,,,,,14,0%
,Latvia,,,,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,0%
,Mexico,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,9,0%
,Moldova,,,,,,,,217,,,,,,,,,,,,,,,,,,,,,,,,,,,217,0.3%
,Mujahedin (Afghanistan)*,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,0%
,Netherlands,31,89,51,18,100,18,23,25,24,194,173,20,9,,13,148,338,313,41,30,104,222,189,156,300,221,241,154,106,154,307,166,77,72,4125,5.9%
,New Zealand,,,,,,,,,,,,,,,,,,,,,,,75,,,,6,,6,,,,29,7,123,0.2%
,Nicaragua,,,74,18,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97,0.1%
,Norway,,6,6,20,33,,,,,3,2,1,1,,10,,4,50,100,100,142,75,111,50,65,90,7,25,45,15,5,17,18,76,1074,1.5%
,Panama,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,0%
,Peru,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,4,0%
,Poland,,,,,,,8,8,0,12,28,13,,,,,,,,8,8,8,17,121,,,,,3,,,,,,234,0.3%
,Portugal,,,,,,,,,,,,,,,,,,,99,,,,,,,7,,,3,,,,,,108,0.2%
,Qatar,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,2,0%
,Russia,,,29,,38,52,84,354,18,179,65,7,46,,,,398,769,700,324,144,378,594,881,184,114,112,7,,,,,,,5477,7.8%
,Saudi Arabia,,,,,,,,,,,,,,,,,18,,,,,,,,,,,,,,,,,,18,0%
,Singapore,,,,11,21,,,11,,11,11,,,,,,,,,,,,,,,,,,,,24,72,,,160,0.2%
,Slovakia,,,,,,2,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,4,0%
,South Africa,,33,1,,,,2,,8,0,,,,1,1,26,81,76,78,68,117,29,72,,,,,,,16,40,40,,2,690,1%
,South Korea,,10,,,,,,,,,,50,,,,,,,,,16,,,,78,49,71,8,85,,72,60,1,6,506,0.7%
,Soviet Union,208,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,208,0.3%
,Spain,38,28,8,8,16,8,20,32,66,21,11,4,,34,4,38,380,118,127,151,186,398,147,42,89,149,26,13,,44,268,113,63,26,2673,3.8%
,Sweden,8,10,10,15,35,21,56,1,,10,21,19,90,63,45,,,,5,7,16,,5,,37,32,36,18,50,79,90,190,18,141,1126,1.6%
,Switzerland,169,222,218,46,6,6,22,22,20,51,76,84,101,124,139,160,182,124,96,92,106,92,84,67,55,42,18,,8,9,,,,13,2454,3.5%
,Taiwan,6,,,,,,4,,,,,6,,,,,,,,,,,2,,,4,2,,,2,,3,,,30,0%
,Turkiye,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,8,24,0%
,Ukraine,,,,,155,,,22,11,11,18,50,,50,,2,,,,,11,4,,,,,5,,,,,,,,338,0.5%
,United Kingdom,352,426,371,386,370,540,544,449,211,189,579,612,482,321,487,192,327,413,440,306,198,193,325,120,2,26,50,27,172,406,212,153,386,176,10440,15%
,United States,125,675,267,408,539,451,489,907,362,434,505,634,350,240,296,153,426,645,439,324,467,637,502,421,348,716,439,440,226,166,125,168,155,79,13556,19%
,unknown supplier(s),,,,20,4,,54,,,,,4,6,,,,,,,0,22,0,9,9,,2,,5,,1,1,,,0,137,0.2%
,Uruguay,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,0%
,Venezuela,,,,,,,,,,,,,,,1,,7,,3,40,,,,,,,,,,,,,,,51,0.1%
Oceania,Regional total,402,283,432,484,297,83,611,357,557,983,326,1262,659,937,568,468,747,756,433,863,1636,1611,818,246,941,1563,1029,1666,1596,1215,1817,1286,1012,783,28725,100%
,Australia,22,18,,,18,12,6,6,,,,,,,,,,,,56,66,,,,9,10,,1,8,28,21,35,14,28,358,1.2%
,Austria,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,,,,,2,0%
,Canada,6,8,,,9,27,22,,,,,,1,95,103,18,,,,,,,,,2,1,,16,8,19,,,,,337,1.2%
,China,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,2,,,3,0%
,Denmark,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,0.1%
,Finland,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,5,0%
,France,1,,3,,,,20,5,22,21,,35,5,20,28,51,40,42,68,77,42,468,172,85,92,99,85,51,17,10,,,,,1558,5.4%
,Germany,,,,,,,251,251,251,251,,251,251,251,251,251,251,1,32,13,47,29,14,,6,8,20,11,27,27,32,12,35,,2827,9.8%
,Ireland,,,,,,,,,,,,,,,,24,48,47,40,40,37,,40,39,21,,,,,,,,,,337,1.2%
,Israel,,20,20,,,,,,,,,,15,13,13,5,18,19,,50,20,3,5,5,3,,,,,,,,,,207,0.7%
,Italy,2,36,36,34,,,,,,115,58,58,115,,,,,6,,,,11,11,,,32,32,48,48,,,12,,,652,2.3%
,Netherlands,10,,10,,,,,,,,,,,44,,,5,75,,,,,,,,,,45,,,13,,13,,213,0.7%
,New Zealand,,34,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,2,36,0.1%
,Norway,,,,,,,,,,,,11,16,15,,,,3,,,,,26,,,,,,,,2,,,15,88,0.3%
,Singapore,,,,,,,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,8,0%
,South Korea,,,,,,,,,,,,,,,,,30,,,,,,,,,,,,,,96,,,,126,0.4%
,Spain,,9,9,,,,,,,,,,,,,,,,,,,,,,480,480,,499,499,,499,248,,30,2752,9.6%
,Sweden,,,,,,,253,8,253,253,,498,8,256,11,11,11,3,,,,,15,8,8,8,,,,,,,,,1598,5.6%
,Switzerland,30,40,,,,,,,,,,,,,,,,,,,,,,,,,,50,75,120,,,,,314,1.1%
,United Kingdom,16,17,17,2,1,,6,,,,63,279,125,33,17,8,,,,,,80,49,,17,2,,2,10,10,28,32,28,,842,2.9%
,United States,315,101,337,448,253,44,52,80,31,343,205,131,120,211,146,100,344,556,293,626,1424,1021,485,109,304,923,892,941,904,999,1126,945,923,708,16443,57%
,unknown supplier(s),,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,2,0%
Rebel force,Regional total,14,5,6,1,81,1,9,3,11,24,36,212,6,0,1,0,12,20,8,41,31,2,7,16,58,68,14,31,15,33,188,63,34,12,1061,100%
,Belarus,,,,,,,,,7,7,,,,,,,,,,,,,,,,14,,,,,,,,,28,2.6%
,Bulgaria,,,,,44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,4.1%
,Cambodia,,,,0,0,0,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,2,0.2%
,China,9,,,,,,,,,,,,,,,,,7,3,,,,,,2,,,1,3,,,,,,25,2.4%
,Egypt,,,2,,,,,,,,,,,,,,,,,,,,,,7,21,,,,5,,,,,36,3.4%
,Eritrea,,,,,,,,,2,,,,,,,,0,,,,,,,,,,,,,,,,,,2,0.2%
,France,3,5,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,0.9%
,Iran,0,1,1,1,0,1,2,0,0,0,0,0,3,0,1,0,6,,,,,,,,,,,15,,,,,13,12,56,5.3%
,Israel,,,,,,,6,,,,,,,,,,,,6,,,,,13,,,,,,,,,,,24,2.3%
,Jordan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,3,0.3%
,Libya HoR*,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,0,,,,,,1,0.1%
,Moldova,,,,,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,3.4%
,Netherlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,,,,,10,0.9%
,Nicaragua,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0.2%
,North Korea,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,1,0.1%
,Qatar,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0%
,Russia,,,,,,,,,,16,34,210,,,,,,,,,,,,,38,29,,,,,188,51,5,,571,54%
,Slovakia,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,1,,,,,3,0.3%
,South Africa,,0,0,,,,1,1,2,,,,,,,,3,13,,,,,1,,,,,,,,,,,,21,2%
,Spain,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,11,1%
,Syria,,,,,,,0,0,,,,,,,,,3,,,30,30,,,,,,,,,,,,,,63,5.9%
,Turkiye,,,,,,,,,,,,,,,,,,,,,,,5,,,,,8,,1,,10,13,,37,3.5%
,UAE,,,,,,,,,,,,,,,,,,,,,,,,,8,1,13,5,,21,,,,,49,4.6%
,Ukraine,,,,,,,,,,0,,,,,,,,,,,,,,2,,,,,,,,,,,2,0.2%
,United Kingdom,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,0%
,United States,,,,,,,,,,,,,,,,,,,,,,,,,2,,,0,0,,,2,,,4,0.4%
,unknown supplier(s),,,,,0,,,0,0,0,,1,3,,,0,,,,,1,2,1,1,1,1,,1,,2,,,3,,19,1.8%
SAARC,Regional total,3674,2631,1681,1813,1872,1951,1543,2432,1588,2324,1655,2026,2657,3435,2798,1700,2135,3181,2937,3478,5522,5529,6159,7286,4610,4289,4015,4144,3475,5097,3613,5173,4373,3641,114437,100%
,Argentina,,,,13,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17,0%
,Australia,144,72,,,,,,,,,,,17,,,,8,17,17,17,17,17,,,5,,,,,,,,,,329,0.3%
,Austria,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,0%
,Belarus,,,,,,,,13,13,13,,,,6,,,,,,,,,,,,,,,,14,,,,,58,0.1%
,Belgium,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,67,11,80,0.1%
,Bosnia-Herzegovina,,,,,,,,,,,,,,,,,,,,,,14,,3,,,,,,,,,,,17,0%
,Brazil,,,,,,,,,,,,,,,,,,,,,,,,3,4,5,94,14,27,21,,,,,168,0.1%
,Canada,,,,,,,,,,,,,,,,,,,,,,,,11,9,107,10,2,3,,,,2,2,144,0.1%
,China,434,496,289,694,362,258,174,92,119,123,108,322,290,275,102,108,329,247,323,747,760,672,740,1214,671,999,988,897,599,1243,495,885,1481,1824,19357,17%
,Czechia,,,,,,32,9,2,,,10,19,1,7,0,0,0,15,32,17,0,0,0,0,0,8,0,0,0,0,0,1,1,,154,0.1%
,Czechoslovakia,,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,0%
,Denmark,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,19,10,33,0%
,Egypt,,,,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,41,41,,96,0.1%
,France,86,88,115,61,61,57,99,43,159,378,123,105,47,306,180,115,28,8,317,39,44,48,54,89,58,130,118,423,205,722,724,1956,832,251,8068,7.1%
,Germany,46,59,249,34,221,10,5,28,40,21,165,9,12,12,11,8,28,85,80,52,60,29,10,45,42,67,29,9,33,102,59,62,60,36,1818,1.6%
,India,0,0,7,0,0,0,0,0,0,0,16,2,0,4,24,5,24,21,11,,5,3,,5,5,12,3,37,37,2,5,2,3,,232,0.2%
,Indonesia,,,,,,,,,,,,,,,27,,,,1,,,,,,,,,,,9,,,,,37,0%
,Israel,,,,,,5,71,48,70,45,173,107,114,164,212,275,219,119,41,130,106,166,163,118,155,157,497,609,526,158,104,202,215,596,5562,4.9%
,Italy,30,15,,,,,,,,5,18,40,49,57,67,57,20,5,3,22,139,440,120,127,38,30,15,84,142,32,3,3,39,44,1641,1.4%
,Jordan,,,,,,,,,,,,,,,,,,,,,,,,24,114,7,,,,,,,,,146,0.1%
,Kazakhstan,,,,,,,12,3,3,3,3,13,,,,,,,,,,,,,,,,,,,,,,,38,0%
,Kyrgyzstan,,,,,,54,,,,,,,,76,,,18,18,,,,,,,,4,5,5,,,,,,,180,0.2%
,Lebanon,,,,,,,,,,,,,48,,,,,,,,,,,,,,,,,,,,,,48,0%
,Libya,,,,,,,,,,,,,,,113,113,,9,14,14,9,,,,,,,,,,,,,,270,0.2%
,Lithuania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,13,0%
,Malaysia,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,11,0%
,Malta,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,5,0%
,Netherlands,150,125,125,125,175,114,100,134,122,72,34,37,,,35,25,,,,10,19,,,,10,10,10,,,,80,10,54,32,1604,1.4%
,New Zealand,,,3,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,0%
,North Korea,,,,,,,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,6,0%
,Norway,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,0%
,Pakistan,80,,,,,,,,,,4,,,,9,6,,,1,,,,,,,,,,,,,,,,100,0.1%
,Poland,,,,,,,,,0,6,16,49,22,56,39,,218,101,,,,,,11,,,,,,6,,,6,,531,0.5%
,Qatar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,11,0%
,Romania,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,3,0%
,Russia,,,598,519,496,1111,675,1232,516,1117,770,1032,1907,2099,1555,681,942,1777,1324,1461,2375,2635,3968,3907,1828,1926,1889,1451,1278,1301,1128,1243,1077,432,46248,40%
,Serbia,,,,,,,,,,,,,,,,,,,,,,,,10,,10,9,,27,,,,,,56,0%
,Singapore,19,3,3,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,26,0%
,Slovakia,,,,1,,45,50,50,,,,27,30,,,,,,9,,,,,,,,,,,,,,,,212,0.2%
,South Africa,,,,,,,,,,18,,15,,,2,1,,,,,,5,38,38,,,,14,14,19,19,2,13,,198,0.2%
,South Korea,72,108,,36,,,,25,,,10,180,,,,,,,,,,,,,,,,,26,191,191,26,,,865,0.8%
,Soviet Union,2174,1229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3403,3%
,Spain,,,,,,,,,,,,,,,,,,,,,,,,10,,,,13,,,,,13,23,58,0.1%
,Sri Lanka,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,8,0%
,Sweden,51,16,6,13,6,6,4,4,4,6,6,6,6,6,6,4,4,4,11,84,244,4,4,4,4,4,8,4,16,80,80,80,,,786,0.7%
,Switzerland,75,75,75,75,75,55,50,,,,,,,,,,,39,73,44,,,,45,48,34,20,20,,13,,,,,815,0.7%
,Thailand,,,,,,,,,,,,,,,,,79,,,,,,,,,,,,,,,3,,,82,0.1%
,Turkiye,,,,,,3,3,0,,,,,,,,,,31,34,7,,22,22,25,,24,,13,116,,,27,40,282,648,0.6%
,UAE,,,,,,,,,,,,,,,,,,,,34,,,,,,,,,,,,,,,34,0%
,Ukraine,,,7,7,12,78,63,486,450,454,74,43,22,78,87,12,33,15,30,70,72,145,57,120,53,61,63,19,23,12,17,28,28,22,2735,2.4%
,United Kingdom,265,282,154,196,421,90,39,97,52,44,43,6,34,8,120,117,,164,225,112,149,140,160,141,150,150,130,7,19,47,44,144,141,,3889,3.4%
,United States,47,44,50,26,35,34,185,172,31,8,82,15,58,31,85,170,185,508,376,412,1316,980,824,1338,1417,539,128,525,385,1125,663,445,226,78,12542,11%
,unknown supplier(s),,5,,,,,,,1,,,,,,,,,,17,,,,,,,,,,,,,,5,1,30,0%
,Uzbekistan,,,,,,,,,,,,,,252,126,,,,,209,209,209,,,,,,,,,,,,,1005,0.9%
SADC,Regional total,0,0,83,134,363,55,175,102,173,455,351,240,182,125,58,376,914,955,570,245,347,295,382,189,129,98,350,213,310,244,142,126,117,126,8622,100%
,Australia,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,0%
,Austria,,,,,,,,,,,15,,,,,,,,,,,,,,,,,,,,,,,,15,0.2%
,Belarus,,,,8,,,,1,,176,48,,,,,,,,,,,,,,,10,4,17,12,,,,35,,310,3.6%
,Belgium,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,11,0.1%
,Brazil,,,,,,,,,15,,,,,,10,,,6,,11,,,,27,3,,,,,,,,,,72,0.8%
,Bulgaria,,,,28,,,,,,24,6,,,,,,,,,,,,,1,2,11,,6,,7,,,,,85,1%
,Canada,,,,,4,8,24,53,2,,26,,,,,,3,,,,,,,5,,,,,,3,,,3,0,132,1.5%
,Chile,,,,,,,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,0.3%
,China,,,18,,5,,8,5,,,39,14,1,46,14,21,120,5,27,30,,81,216,127,28,24,53,68,3,16,44,29,16,56,1110,13%
,Czechia,,,,,,,,,,4,9,,,,,,,6,,,,,,,,,,,,,,,,,19,0.2%
,Czechoslovakia,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,0.2%
,France,,,,,18,3,4,1,,4,12,,1,5,,15,30,30,1,1,1,5,5,1,,5,45,1,21,20,53,24,11,15,332,3.9%
,Georgia,,,,,,,,,,46,69,,,,,,,,,,,,,,,,,,,,,,,,115,1.3%
,Germany,,,,,,,,,,,,20,,,1,225,550,781,253,5,,,,,,0,,,,,,,,,1835,21%
,Ghana,,,,,,,,,,,,,,,,19,,,,,,,,,,,,,,,,,,,19,0.2%
,Hungary,,,,3,,,,,,,,,34,,,,,,,,,,,,,,,,,,,,,,37,0.4%
,India,,,,,2,2,,,,,,,,,7,15,,,,,,1,,7,35,,33,19,10,15,,20,4,,168,1.9%
,Israel,,,0,,202,,,,,3,6,,,,5,9,1,,,,2,3,5,3,,,24,6,,1,13,18,5,1,305,3.5%
,Italy,,,,,,,,,1,,,,,,6,21,38,17,17,14,,1,3,,,,3,18,12,32,,10,,,191,2.2%
,Jordan,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0%
,Kazakhstan,,,,,,,,,2,10,,,,,,,,,,,,,,,,,,,,,,,,,11,0.1%
,Kenya,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,0%
,Libya,,,,,,,,,10,,,,11,16,,,,,,,,,,,,,,,,,,,,,37,0.4%
,Lithuania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,,,,,,60,0.7%
,Moldova,,,,,,,,,,,3,42,60,10,,18,3,19,29,20,,,,,,,,,,,,,,,205,2.4%
,Netherlands,,,,,,,,,,,,,,,,14,3,,,4,,,,,,,20,,,,,,30,30,100,1.2%
,Peru,,,,,,,,,,,,10,,,5,,,,,,,,,,,,,,,,,,,,15,0.2%
,Poland,,,,,18,1,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,21,0.2%
,Portugal,,,,1,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,2,0%
,Romania,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,0%
,Russia,,,,47,57,,24,7,97,24,58,77,25,,,,,,,,,,,,50,44,100,63,188,138,,,,,998,12%
,Serbia,,,,,,,,5,,,,,,,,,,,,,,,6,,,,,,,,,,,,11,0.1%
,Slovakia,,,,,15,,,,,124,33,27,2,,,,,,,,,,,,2,,,,,,1,,,,205,2.4%
,South Africa,,,,,4,0,,,5,,1,1,,1,,0,,,3,0,,,4,2,2,2,15,5,1,,1,3,7,11,69,0.8%
,Spain,,,,24,18,,,,,,,4,,,,,,,,9,9,,,3,,,3,,,,,,,,70,0.8%
,Sweden,,,,,,,,,,,,,,,,,,,132,105,158,184,105,,,,,,,,,,,,684,7.9%
,Switzerland,,,,,15,30,30,2,,,,,,5,9,,,,,,,,,6,0,,,,,1,13,8,5,1,124,1.4%
,Taiwan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,2,0%
,UAE,,,,,,,,,,,,,,,,,2,,,,,3,,,,,,,,,1,,,5,11,0.1%
,Ukraine,,,,,,,41,,34,22,24,18,36,38,,4,24,4,,,159,2,22,,7,,50,7,,,7,,,,498,5.8%
,United Kingdom,,,47,,,8,13,,,,,,,5,,9,120,59,80,,4,,3,7,,2,0,2,,,,,,,359,4.2%
,United States,,,,2,6,2,,28,5,18,,15,,,,,14,28,11,38,14,16,14,1,,,,2,2,8,7,,,5,235,2.7%
,unknown supplier(s),,,,20,,,4,,2,,,11,,,,7,7,,18,9,,,,,,,,,,4,1,16,0,2,101,1.2%
SCO,Regional total,0,0,0,0,0,0,1513,1013,382,1802,2612,2921,2869,2344,3292,3525,2902,1880,1851,1471,1093,1145,1818,1592,1349,1915,1674,1898,2485,1673,1095,839,1075,768,50794,100%
,Belarus,,,,,,,,,,,,,,,,,,,,,,,,170,,,,,,,,,,,170,0.3%
,Bulgaria,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,4,0%
,Canada,,,,,,,,,,,,,,,,,,,,,,,,3,3,3,6,3,,,,,,2,20,0%
,China,,,,,,,,,,,,,,,,,,,,,,,,,16,,11,,120,6,,5,5,1,163,0.3%
,Czechia,,,,,,,,,,,,,,,,,,,,,,10,8,5,5,13,16,16,,,,,,5,78,0.2%
,France,,,,,,,179,144,122,109,87,100,141,127,177,177,142,152,158,128,158,173,206,219,194,238,187,130,133,170,134,64,98,106,4152,8.2%
,Germany,,,,,,,18,8,8,15,8,7,5,7,18,18,12,10,3,3,3,9,6,16,31,32,15,28,21,21,21,45,19,1,405,0.8%
,Iran,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,123,120,243,0.5%
